feature,importance
logRelF0-H1-A3_sma3nz_stddevNorm,0.0014758327
mfcc_delta2_13_std,0.0014662762
mfcc_delta2_17_mean,0.0014463705
mfcc_delta2_19_std,0.0014236356
mfcc_delta_16_mean,0.0014161958
mfcc_delta_3_std,0.0013949821
F2amplitudeLogRelF0_sma3nz_stddevNorm,0.0013543916
mfcc_delta_4_std,0.0013300471
F1bandwidth_sma3nz_stddevNorm,0.0012937788
slopeV500-1500_sma3nz_stddevNorm,0.0012551969
mfcc_delta2_7_mean,0.0012527101
F3frequency_sma3nz_amean,0.0012126481
mfcc_delta2_14_mean,0.0012103732
mfcc_delta_18_std,0.0012071205
mfcc_delta2_11_mean,0.0011965865
mfcc_delta2_11_std,0.0011808038
mfcc1V_sma3nz_stddevNorm,0.0011478976
mfcc_delta_7_mean,0.0011443078
mfcc_delta2_20_mean,0.0011413111
jitterLocal_sma3nz_stddevNorm,0.0011263323
mfcc_delta_9_mean,0.001090351
mfcc_delta2_13_mean,0.0010885213
mfcc_delta_5_mean,0.0010815052
mfcc_delta2_18_mean,0.0010476678
mfcc_delta2_14_std,0.0010406942
StddevUnvoicedSegmentLength,0.0009952541
shimmerLocaldB_sma3nz_amean,0.000982203
mfcc2_sma3_stddevNorm,0.00096839026
mfcc_14_max,0.0009371411
F1bandwidth_sma3nz_amean,0.00093676156
mfcc_delta2_7_std,0.0008899301
mfcc_4_min,0.00086338207
mfcc_delta2_8_std,0.00081858796
F3amplitudeLogRelF0_sma3nz_amean,0.0006004186
mfcc_delta_10_std,0.00041014285
